patron_record_num,patron_barcode,item_record_num,item_barcode,checkout_gmt,due_gmt
17246,21107200534,31171,000030742,"2024-03-04 10:30:27","2024-04-03 00:00:00"
17246,21107200534,31191,000031037,"2024-03-04 10:31:06","2024-04-03 00:00:00"
17246,21107200534,31189,000031035,"2024-03-04 10:31:07","2024-04-03 00:00:00"
295,02010006,4646,000007489,"2024-03-04 11:24:13","2024-04-24 23:59:00"
295,02010006,24557,000022471,"2024-03-04 11:24:18","2024-04-24 23:59:00"
295,02010006,15655,000006122,"2024-03-04 11:24:22","2024-04-24 23:59:00"
295,02010006,29607,000026806,"2024-03-04 11:24:28","2024-04-24 23:59:00"
295,02010006,26454,000022983,"2024-03-04 11:24:33","2024-04-24 23:59:00"
295,02010006,15579,000004488,"2024-03-04 11:24:38","2024-04-24 23:59:00"
295,02010006,34741,000034761,"2024-03-04 11:24:49","2024-04-24 23:59:00"
14414,22205200017,1379,000001368,"2024-03-04 15:09:00","2024-04-03 00:00:00"
14414,22205200017,2474,000001371,"2024-03-04 15:09:10","2024-04-03 00:00:00"
3867,22205100010,13459,000007401,"2024-03-04 15:39:34","2024-04-03 00:00:00"
13630,22205200027,13457,000007399,"2024-03-04 15:40:06","2024-04-03 00:00:00"
3923,22204900003,13458,000007400,"2024-03-04 15:40:32","2024-04-03 00:00:00"
14914,22102100044,16000,000012524,"2024-03-05 10:27:50","2024-04-04 00:00:00"
14914,22102100044,16095,000013776,"2024-03-05 10:27:51","2024-04-04 00:00:00"
14914,22102100044,16129,000012389,"2024-03-05 10:27:52","2024-04-04 00:00:00"
7185,22107100300,28532,000027917,"2024-03-05 11:50:44","2024-04-04 00:00:00"
7185,22107100300,27666,000027808,"2024-03-05 11:50:45","2024-04-04 00:00:00"
65,01001001,4803,000020340,"2024-03-05 13:47:55","2024-04-25 23:59:00"
81,02028011,25262,000022777,"2024-03-05 14:33:34","2024-05-02 23:59:00"
81,02028011,756,000001207,"2024-03-05 14:33:40","2024-05-02 23:59:00"
11120,22109100179,1185,000001694,"2024-03-05 16:21:39","2024-04-04 00:00:00"
419,02005003,16467,000007319,"2024-03-06 10:02:02","2024-04-05 00:00:00"
419,02005003,13627,000007821,"2024-03-06 10:02:14","2024-04-05 00:00:00"
30279,21109100091,1792,000000601,"2024-03-06 10:39:40","2024-04-26 23:59:00"
355,01008032,30713,000030673,"2024-03-06 14:46:17","2024-04-05 00:00:00"
355,01008032,34411,000034563,"2024-03-06 14:46:18","2024-04-05 00:00:00"
355,01008032,24367,000024184,"2024-03-06 14:46:19","2024-04-05 00:00:00"
355,01008032,18925,000003487,"2024-03-06 14:46:20","2024-04-05 00:00:00"
581,01006023,31853,000031784,"2024-03-06 15:14:17","2024-04-05 00:00:00"
389,01016004,33292,000033031,"2024-03-06 16:39:04","2024-04-05 00:00:00"
389,01016004,26116,000025312,"2024-03-06 16:39:12","2024-04-05 00:00:00"
389,01016004,32439,000031961,"2024-03-06 16:39:22","2024-04-05 00:00:00"
16597,21106100290,4256,000002803,"2024-03-07 11:57:42","2024-04-08 00:00:00"
21780,22178100035,17995,000021140,"2024-03-07 13:50:31","2024-04-08 00:00:00"
21780,22178100035,31704,000031382,"2024-03-07 13:50:35","2024-04-08 00:00:00"
18894,22104900074,13451,000017755,"2024-03-07 15:19:27","2024-04-08 00:00:00"
9494,23107200187,28618,000028333,"2024-03-07 15:51:15","2024-04-08 00:00:00"
9494,23107200187,32510,000031844,"2024-03-07 15:51:16","2024-04-08 00:00:00"
9494,23107200187,27811,000027417,"2024-03-07 15:51:17","2024-04-08 00:00:00"
9494,23107200187,35541,000035496,"2024-03-07 15:51:18","2024-04-08 00:00:00"
2027,22104900023,20854,000018150,"2024-03-08 07:33:10","2024-04-08 00:00:00"
5292,22107200159,35570,000035542,"2024-03-08 08:16:19","2024-04-08 00:00:00"
29534,22174800062,35496,000035532,"2024-03-08 10:13:35","2024-04-08 00:00:00"
29534,22174800062,20664,000015720,"2024-03-08 10:13:36","2024-04-08 00:00:00"
79,01004013,33035,000032623,"2024-03-08 10:59:57","2024-04-08 00:00:00"
79,01004013,4079,000018600,"2024-03-08 10:59:58","2024-04-08 00:00:00"
79,01004013,4075,000000449,"2024-03-08 10:59:59","2024-04-08 00:00:00"
79,01004013,4070,000015983,"2024-03-08 11:00:00","2024-04-08 00:00:00"
5103,20106100701,33819,000033690,"2024-03-08 16:36:18","2024-04-08 00:00:00"
21762,23108100183,31125,000030784,"2024-03-11 09:36:52","2024-04-10 00:00:00"
28274,20106100886,18457,000003678,"2024-03-11 10:16:22","2024-04-10 00:00:00"
20764,21107100745,27963,000027867,"2024-03-11 10:21:30","2024-04-10 00:00:00"
19211,21107100715,28279,000027797,"2024-03-11 10:33:00","2024-04-10 00:00:00"
19211,21107100715,31331,000031269,"2024-03-11 10:33:01","2024-04-10 00:00:00"
19211,21107100715,34843,000034578,"2024-03-11 10:33:02","2024-04-10 00:00:00"
19211,21107100715,27556,000028263,"2024-03-11 10:33:23","2024-04-10 00:00:00"
21177,23178100081,33287,000033026,"2024-03-11 14:07:03","2024-04-10 00:00:00"
21968,21109100013,26759,000026294,"2024-03-11 14:13:14","2024-04-10 00:00:00"
16161,22103100011,34623,000034544,"2024-03-11 16:27:06","2024-04-10 00:00:00"
16161,22103100011,26522,000025583,"2024-03-11 16:27:07","2024-04-10 00:00:00"
28735,22107200160,31477,000031466,"2024-03-13 09:55:21","2024-04-12 00:00:00"
595,01034009,23193,000023058,"2024-03-13 10:13:40","2024-04-12 00:00:00"
595,01034009,3213,000023296,"2024-03-13 10:13:47","2024-04-12 00:00:00"
595,01034009,31835,000031609,"2024-03-13 10:13:54","2024-04-12 00:00:00"
30531,21107100833,28502,000027622,"2024-03-13 10:14:26","2024-04-12 00:00:00"
30531,21107100833,33529,000033469,"2024-03-13 10:14:32","2024-04-12 00:00:00"
21512,21206100069,32460,000032277,"2024-03-13 10:38:54","2024-04-12 00:00:00"
12528,23178100120,33288,000033027,"2024-03-13 11:53:00","2024-04-12 00:00:00"
29714,22104900024,13453,000015796,"2024-03-13 13:32:07","2024-04-12 00:00:00"
1820,21107100159,30867,000030814,"2024-03-13 13:35:42","2024-04-12 00:00:00"
1820,21107100159,29684,000028582,"2024-03-13 13:35:50","2024-04-12 00:00:00"
2222,22104300224,32708,000032425,"2024-03-13 13:36:38","2024-04-12 00:00:00"
28638,22106100339,23298,000023928,"2024-03-13 14:29:04","2024-04-12 00:00:00"
28638,22106100339,19024,000003411,"2024-03-13 14:29:05","2024-04-12 00:00:00"
28638,22106100339,1537,000000379,"2024-03-13 14:29:06","2024-04-12 00:00:00"
26370,22106100627,25766,000025328,"2024-03-13 14:38:36","2024-04-12 00:00:00"
310,02031009,2460,000000638,"2024-03-13 15:28:16","2024-04-12 00:00:00"
8533,22105200134,31871,000031824,"2024-03-13 16:00:40","2024-04-12 00:00:00"
12222,21103100580,5731,000016898,"2024-03-13 16:15:31","2024-04-12 00:00:00"
12222,21103100580,19863,000017034,"2024-03-13 16:15:32","2024-04-12 00:00:00"
12222,21103100580,5493,000016801,"2024-03-13 16:15:33","2024-04-12 00:00:00"
15998,20108101194,19609,000004157,"2024-03-13 16:39:57","2024-04-12 00:00:00"
301,02010008,33267,000033250,"2024-03-13 16:43:42","2024-04-12 00:00:00"
301,02010008,28321,000026583,"2024-03-13 16:43:51","2024-04-12 00:00:00"
8752,20107100257,33438,000033313,"2024-03-13 16:49:18","2024-04-12 00:00:00"
8752,20107100257,22730,000019179,"2024-03-13 16:49:21","2024-04-12 00:00:00"
492,01004010,25363,000024830,"2024-03-14 10:29:17","2024-04-15 00:00:00"
19855,20105100052,13748,000017948,"2024-03-14 11:17:49","2024-04-15 00:00:00"
19855,20105100052,20628,000018714,"2024-03-14 11:17:50","2024-04-15 00:00:00"
510,01004078,24965,000024511,"2024-03-14 11:25:23","2024-04-15 00:00:00"
510,01004078,11727,000017867,"2024-03-14 11:25:29","2024-04-15 00:00:00"
15298,23106101496,33469,000033583,"2024-03-15 08:18:34","2024-04-26 23:59:00"
409,01042011,31937,000031607,"2024-03-15 08:35:03","2024-04-26 23:59:00"
9427,23107101461,33450,000033418,"2024-03-15 09:08:21","2024-04-26 23:59:00"
493,01004004,14380,000017766,"2024-03-15 09:16:14","2024-05-21 23:59:00"
493,01004004,25326,000024719,"2024-03-15 09:16:15","2024-05-21 23:59:00"
493,01004004,25258,000024653,"2024-03-15 09:16:16","2024-05-21 23:59:00"
493,01004004,24702,000024014,"2024-03-15 09:16:17","2024-05-21 23:59:00"
493,01004004,34353,000034269,"2024-03-15 09:16:32","2024-05-21 23:59:00"
22111,22103100057,35477,000035537,"2024-03-15 09:40:24","2024-04-26 23:59:00"
20491,22103200016,35542,000035497,"2024-03-15 10:26:21","2024-04-26 23:59:00"
20491,22103200016,25040,000024873,"2024-03-15 10:26:22","2024-04-26 23:59:00"
17347,22103200041,32011,000031534,"2024-03-15 10:26:43","2024-04-26 23:59:00"
17347,22103200041,32640,000031735,"2024-03-15 10:26:44","2024-04-26 23:59:00"
19860,20103100459,31420,000031135,"2024-03-15 14:20:02","2024-04-26 23:59:00"
19860,20103100459,31389,000031078,"2024-03-15 14:20:29","2024-04-26 23:59:00"
30593,23174600086,32282,000031668,"2024-03-15 15:11:19","2024-04-26 23:59:00"
30593,23174600086,32391,000031923,"2024-03-15 15:11:43","2024-04-26 23:59:00"
409,01042011,4552,000004184,"2024-03-15 15:16:59","2024-04-26 23:59:00"
18019,22178100125,32405,000032215,"2024-03-15 15:31:08","2024-04-26 23:59:00"
18019,22178100125,31893,000032247,"2024-03-15 15:31:10","2024-04-26 23:59:00"
18019,22178100125,32501,000032274,"2024-03-15 15:31:11","2024-04-26 23:59:00"
18019,22178100125,26197,000022875,"2024-03-15 15:34:51","2024-04-26 23:59:00"
8092,22174600015,32696,000032427,"2024-03-15 15:44:15","2024-04-26 23:59:00"
8092,22174600015,30848,000030676,"2024-03-15 15:44:16","2024-04-26 23:59:00"
26703,23108100163,28054,000027569,"2024-03-15 15:49:24","2024-04-26 23:59:00"
19956,23174600022,17068,000020522,"2024-03-15 15:52:35","2024-04-26 23:59:00"
19956,23174600022,32395,000031927,"2024-03-15 16:03:58","2024-04-26 23:59:00"
16902,21106100211,30509,000030062,"2024-03-15 16:05:38","2024-04-26 23:59:00"
29350,22104300227,24990,000024508,"2024-03-15 16:12:54","2024-04-26 23:59:00"
29350,22104300227,25089,000024864,"2024-03-15 16:12:55","2024-04-26 23:59:00"
29350,22104300227,34317,000034307,"2024-03-15 16:12:56","2024-04-26 23:59:00"
29350,22104300227,24989,000024507,"2024-03-15 16:12:57","2024-04-26 23:59:00"
16545,23174600122,34625,000034546,"2024-03-15 16:20:21","2024-04-26 23:59:00"
16545,23174600122,34301,000034850,"2024-03-15 16:20:22","2024-04-26 23:59:00"
16545,23174600122,32781,000033656,"2024-03-15 16:21:00","2024-04-26 23:59:00"
15752,23207200018,32539,000032271,"2024-03-15 16:59:53","2024-04-26 23:59:00"
5103,20106100701,24660,000024413,"2024-03-16 07:57:28","2024-04-26 23:59:00"
691,01015018,30997,000030806,"2024-03-16 09:53:36","2024-04-26 23:59:00"
30075,23174800034,28963,000028626,"2024-03-18 10:23:28","2024-04-29 23:59:00"
7249,21104900222,32279,000031665,"2024-03-18 10:28:07","2024-04-29 23:59:00"
7249,21104900222,5256,000016380,"2024-03-18 10:28:09","2024-04-29 23:59:00"
7249,21104900222,774,000000657,"2024-03-18 10:28:10","2024-04-29 23:59:00"
7249,21104900222,32390,000031922,"2024-03-18 10:28:25","2024-04-29 23:59:00"
20613,20104400733,28324,000028424,"2024-03-18 10:55:15","2024-04-29 23:59:00"
525,01055002,24596,000024107,"2024-03-18 10:55:44","2024-04-29 23:59:00"
525,01055002,35286,000035314,"2024-03-18 10:55:45","2024-04-29 23:59:00"
525,01055002,1702,000000684,"2024-03-18 10:55:46","2024-04-29 23:59:00"
2242,20107200065,19541,000020963,"2024-03-18 11:51:53","2024-04-29 23:59:00"
2242,20107200065,19507,000023018,"2024-03-18 11:51:59","2024-04-29 23:59:00"
386,01006024,18012,000019775,"2024-03-18 13:37:26","2024-05-22 23:59:00"
598,01034020,35231,000035498,"2024-03-19 10:20:51","2024-05-02 23:59:00"
36246,22106100824,25096,000024446,"2024-03-19 11:12:33","2024-05-02 23:59:00"
36246,22106100824,35543,000035444,"2024-03-19 11:12:34","2024-05-02 23:59:00"
36246,22106100824,26583,000025283,"2024-03-19 11:12:35","2024-05-02 23:59:00"
34813,22107200145,35528,000035546,"2024-03-19 16:08:51","2024-05-02 23:59:00"
19468,20206100072,25802,000022919,"2024-03-19 17:06:17","2024-05-02 23:59:00"
19468,20206100072,30796,000030931,"2024-03-19 17:10:54","2024-05-02 23:59:00"
84,01004056,25145,000024698,"2024-03-20 10:35:07","2024-05-03 23:59:00"
84,01004056,34355,000034267,"2024-03-20 10:35:08","2024-05-03 23:59:00"
84,01004056,12303,000017976,"2024-03-20 10:35:09","2024-05-03 23:59:00"
3650,23102100030,25031,000024567,"2024-03-20 10:37:22","2024-05-03 23:59:00"
22093,22208100025,27173,000026700,"2024-03-20 14:32:28","2024-05-03 23:59:00"
10339,23207400021,34679,000034740,"2024-03-20 14:51:32","2024-05-03 23:59:00"
10339,23207400021,8445,000009699,"2024-03-20 14:51:45","2024-05-03 23:59:00"
16406,22104900114,13452,000015795,"2024-03-20 14:56:16","2024-05-03 23:59:00"
29401,21108100030,1506,000000197,"2024-03-20 15:41:54","2024-05-03 23:59:00"
6769,21104300116,31188,000031034,"2024-03-20 16:08:08","2024-05-03 23:59:00"
2909,21105100132,26419,000024938,"2024-03-20 16:59:26","2024-05-03 23:59:00"
2909,21105100132,25812,000024896,"2024-03-20 16:59:32","2024-05-03 23:59:00"
14473,20106100390,30559,000030075,"2024-03-20 17:16:48","2024-05-03 23:59:00"
19482,21105100043,27987,000026394,"2024-03-21 10:59:15","2024-05-06 23:59:00"
19956,23174600022,5840,000017261,"2024-03-21 13:11:47","2024-05-06 23:59:00"
19956,23174600022,5834,000016811,"2024-03-21 13:11:55","2024-05-06 23:59:00"
19956,23174600022,20028,000016369,"2024-03-21 13:12:04","2024-05-06 23:59:00"
28605,20107100860,19501,000023023,"2024-03-21 13:17:49","2024-05-06 23:59:00"
28605,20107100860,34200,000033892,"2024-03-21 13:18:13","2024-05-06 23:59:00"
28605,20107100860,19549,000020976,"2024-03-21 13:20:00","2024-05-06 23:59:00"
302,02031004,28131,000026432,"2024-03-21 15:02:04","2024-05-06 23:59:00"
302,02031004,1505,000001470,"2024-03-21 15:02:08","2024-05-06 23:59:00"
302,02031004,4463,000005045,"2024-03-21 15:02:12","2024-05-06 23:59:00"
16049,21107101100,34827,000034812,"2024-03-21 15:03:13","2024-05-06 23:59:00"
16049,21107101100,4889,000008184,"2024-03-21 15:03:14","2024-05-06 23:59:00"
28261,20209100007,32925,000032837,"2024-03-21 15:21:58","2024-05-06 23:59:00"
28261,20209100007,34617,000034634,"2024-03-21 15:22:15","2024-05-06 23:59:00"
16680,20109100114,34624,000034545,"2024-03-21 15:22:43","2024-05-06 23:59:00"
3039,21103100297,31606,000031047,"2024-03-21 15:25:49","2024-05-06 23:59:00"
3039,21103100297,5981,000017197,"2024-03-21 15:25:50","2024-05-06 23:59:00"
29336,22174800088,2659,000016902,"2024-03-21 15:26:28","2024-05-06 23:59:00"
250,01033018,31602,000032821,"2024-03-21 15:47:32","2024-05-06 23:59:00"
499,02028007,919,000001212,"2024-03-21 15:50:36","2024-05-06 23:59:00"
7119,21107101090,1507,000001547,"2024-03-21 15:53:10","2024-05-06 23:59:00"
7119,21107101090,9463,000010344,"2024-03-21 15:53:26","2024-05-06 23:59:00"
7119,21107101090,32417,000032207,"2024-03-21 15:53:30","2024-05-06 23:59:00"
18168,20109100008,9906,000013068,"2024-03-21 16:03:10","2024-05-06 23:59:00"
18168,20109100008,21029,000012972,"2024-03-21 16:03:12","2024-05-06 23:59:00"
18168,20109100008,9859,000013081,"2024-03-21 16:03:13","2024-05-06 23:59:00"
18168,20109100008,31449,000031103,"2024-03-21 16:03:49","2024-05-06 23:59:00"
302,02031004,34753,000034749,"2024-03-21 16:31:42","2024-05-06 23:59:00"
1386,23101300057,25483,000026049,"2024-03-21 16:44:22","2024-05-06 23:59:00"
18313,22178100103,18009,000009458,"2024-03-21 16:55:02","2024-05-06 23:59:00"
18313,22178100103,33285,000033199,"2024-03-21 16:55:08","2024-05-06 23:59:00"
18313,22178100103,17985,000009655,"2024-03-21 16:55:14","2024-05-06 23:59:00"
15212,22178100126,1145,000001697,"2024-03-21 16:57:00","2024-05-06 23:59:00"
15212,22178100126,17709,000009766,"2024-03-21 16:57:04","2024-05-06 23:59:00"
3614,20109100149,32493,000031830,"2024-03-21 16:58:45","2024-05-06 23:59:00"
3614,20109100149,32968,000032825,"2024-03-21 16:58:46","2024-05-06 23:59:00"
