continent,isBot,statistics_type,city,latitude,type,uid,itemID,itemName,owningItem,countryCode,sortBy,id,longitude,owningComm,ip,query,dns,userAgent,referrer,rpp,sortOrder,bundleName,time,page,epersonid,itemHandle,compositeType,owningColl
AS,FALSE,view,Thanh Pho Thai Nguyen,21.5928,0,223d9d47-afb8-4bf2-b40a-b1dcb0f0c17d,"6f792d1a-8b3b-4fba-8355-a74ca31f6090,6f792d1a-8b3b-4fba-8355-a74ca31f6090","Giải pháp hoàn thiện hoạt động tiêu thụ sản phẩm tại Công ty Cổ phần Sơn Phước Định,Giải pháp hoàn thiện hoạt động tiêu thụ sản phẩm tại Công ty Cổ phần Sơn Phước Định",6f792d1a-8b3b-4fba-8355-a74ca31f6090,VN,,11987fa4-ec76-48f8-91af-04d441956a9c,105.8442,6a454412-5b9d-43d2-a2f3-7b20aa6b2b4e,116.97.108.103,,116.97.108.103,DRM UNETI/1.0.7 (vn.com.dlcorp.DRMUNETI; build:1; iOS 15.3.1) Alamofire/5.8.0,,,,THUMBNAIL,2024-03-29T01:12:07.639Z,,,"UNETI/559,UNETI/559",download,c13164c8-48d9-4d00-aa58-db6396880214
AS,FALSE,search,Hanoi,21.0333,,508ec957-6400-4d9b-9b7b-73ded37a0d6f,,,,VN,score,,105.85,,117.6.131.70,"""nâng cao hiệu quả hoạt động kinh doanh """,117.6.131.70,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",https://dlib.uneti.edu.vn/search?query=%22n%C3%A2ng%20cao%20hi%E1%BB%87u%20qu%E1%BA%A3%20ho%E1%BA%A1t%20%C4%91%E1%BB%99ng%20kinh%20doanh%20%22&spc.page=1,0,desc,,2024-03-29T08:17:02.856Z,1,,,search,
AS,FALSE,search,Hanoi,21.0333,,724516fd-6cf4-4fc6-85f9-c59ef68fdc5a,,,,VN,score,,105.85,,210.245.48.178,"""tài liệu học tập cơ điện tử""",210.245.48.178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",https://dlib.uneti.edu.vn/search?query=%22t%C3%A0i%20li%E1%BB%87u%20h%E1%BB%8Dc%20t%E1%BA%ADp%20c%C6%A1%20%C4%91i%E1%BB%87n%20t%E1%BB%AD%22&spc.page=1,0,desc,,2024-03-29T08:19:06.244Z,1,,,search,
AS,FALSE,search,Hanoi,21.0333,,94c02b38-5037-422c-9975-7ae18d13f401,,,,VN,score,,105.85,,210.245.48.178,"""tài liệu học tập cơ kỹ thuật""",210.245.48.178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",https://dlib.uneti.edu.vn/search?query=%22t%C3%A0i%20li%E1%BB%87u%20h%E1%BB%8Dc%20t%E1%BA%ADp%20c%C6%A1%20k%E1%BB%B9%20thu%E1%BA%ADt%22&spc.page=1,0,desc,,2024-03-29T08:19:19.148Z,1,,,search,
AS,FALSE,search,Hanoi,21.0333,,c5f8a51e-2c9a-4c00-80f1-9a0681ab017e,,,,VN,score,,105.85,,210.245.48.178,"""Tài liệu học tập Thông gió""",210.245.48.178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",https://dlib.uneti.edu.vn/search?query=%22T%C3%A0i%20li%E1%BB%87u%20h%E1%BB%8Dc%20t%E1%BA%ADp%20Th%C3%B4ng%20gi%C3%B3%22&spc.page=1,0,desc,,2024-03-29T08:21:13.294Z,1,,,search,
AS,FALSE,search,Hanoi,21.0333,,e41885b0-54fe-4868-9cee-19e98c40bb9c,,,,VN,score,,105.85,,210.245.48.178,"""Tài liệu học tập Kỹ thuật nhiệt""",210.245.48.178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",https://dlib.uneti.edu.vn/search?query=%22T%C3%A0i%20li%E1%BB%87u%20h%E1%BB%8Dc%20t%E1%BA%ADp%20K%E1%BB%B9%20thu%E1%BA%ADt%20nhi%E1%BB%87t%22&spc.page=1,0,desc,,2024-03-29T08:21:41.922Z,1,,,search,
AS,FALSE,search,Hanoi,21.0333,,c8f57907-47f9-4bdc-92e5-2be4c90b5c8d,,,,VN,score,,105.85,,210.245.48.178,"""Kỹ thuật điện - Tự động hóa""",210.245.48.178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",https://dlib.uneti.edu.vn/search?query=%22K%E1%BB%B9%20thu%E1%BA%ADt%20%C4%91i%E1%BB%87n%20-%20T%E1%BB%B1%20%C4%91%E1%BB%99ng%20h%C3%B3a%22&spc.page=1,0,desc,,2024-03-29T08:21:57.609Z,1,,,search,
AS,FALSE,search,Hanoi,21.0333,,24ff5100-03e3-4c45-b9e3-289e0d9fea5a,,,,VN,score,,105.85,,117.6.131.70,"""nâng cao hiệu quả hoạt động kinh doanh """,117.6.131.70,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",https://dlib.uneti.edu.vn/search?query=%22n%C3%A2ng%20cao%20hi%E1%BB%87u%20qu%E1%BA%A3%20ho%E1%BA%A1t%20%C4%91%E1%BB%99ng%20kinh%20doanh%20%22&spc.page=1,0,desc,,2024-03-29T08:22:11.908Z,1,d132f5ac-7491-4e9c-82ed-9b4170b8b662,,search,
AS,FALSE,search,Hanoi,21.0333,,6c674e10-b5a2-4b26-a9ba-3eeb614b68d1,,,,VN,score,,105.85,,210.245.48.178,""" Lý thuyết điều khiển tự động""",210.245.48.178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",https://dlib.uneti.edu.vn/search?query=%22%20L%C3%BD%20thuy%E1%BA%BFt%20%C4%91i%E1%BB%81u%20khi%E1%BB%83n%20t%E1%BB%B1%20%C4%91%E1%BB%99ng%22&spc.page=1,0,desc,,2024-03-29T08:22:18.769Z,1,,,search,
AS,FALSE,search,Hanoi,21.0333,,2e45e1cb-4adf-4bf2-9497-146947dedb72,,,,VN,score,,105.85,,210.245.48.178,"""Công nghệ và Thiết bị in hoa xử lý hoàn tất vật liệu dệt""",210.245.48.178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",https://dlib.uneti.edu.vn/search?query=%22C%C3%B4ng%20ngh%E1%BB%87%20v%C3%A0%20Thi%E1%BA%BFt%20b%E1%BB%8B%20in%20hoa%20x%E1%BB%AD%20l%C3%BD%20ho%C3%A0n%20t%E1%BA%A5t%20v%E1%BA%ADt%20li%E1%BB%87u%20d%E1%BB%87t%22&spc.page=1,0,desc,,2024-03-29T08:24:43.311Z,1,,,search,
