User_ids,Bib_ids,scoreBR
171,4027,1
171,4031,1
171,5305,1
173,550,1
3430,550,0
6583,550,0
25992,550,0
173,5709,1
364,5709,1
6564,5709,1
14476,5709,1
15707,5709,1
173,6132,1
173,6237,1
173,6435,1
408,6435,1
179,1101,3
15712,1101,2
179,2410,1
179,2414,3
15712,2414,2
179,2448,3
179,6665,1
179,8237,1
5515,8237,1
182,3706,1
182,5630,1
185,1209,2
185,3345,2
185,3376,1
185,4133,1
355,4133,4
9364,4133,1
185,6191,1
185,6240,1
185,6433,1
185,6794,1
185,6836,1
1794,6836,1
9051,6836,1
15123,6836,3
20035,6836,1
20613,6836,1
23542,6836,1
185,6837,1
185,8092,1
5530,8092,1
14604,8092,1
185,8342,2
185,8396,2
13870,8396,1
13896,8396,1
185,9149,2
185,9150,3
284,9150,1
195,392,1
593,392,2
26003,392,3
